engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return
boundary,2023-09-11 06:00:00+00:00,2023-09-12 09:00:00+00:00,-1,25842.9,25874.0,27,-0.0012034253121746552,time_stop_early,0.7392934274653392,0.0,0.005216713294560544,False,,0.037221054912567886,0.006055821908532044,-0.002803425312174655,-0.0
false_break,2023-09-12 03:00:00+00:00,2023-09-12 10:00:00+00:00,-1,25800.1,26022.952142857142,7,-0.008637646476453265,price_stop,0.48644402363420436,2.0,0.013697169132419208,False,,0.0073371808636399916,0.02131387087646952,-0.010237646476453265,-0.010237646476453265
false_break,2023-09-12 17:00:00+00:00,2023-09-12 19:00:00+00:00,-1,25903.9,26170.202142857146,2,-0.010280388005556862,price_stop,0.49475180338461877,2.0,0.01620412370338057,False,,0.0008724554989789635,0.013939985870853322,-0.011880388005556863,-0.011880388005556863
false_break,2023-09-12 23:00:00+00:00,2023-09-13 07:00:00+00:00,-1,25844.2,26035.933500000003,8,-0.0074188212442249934,price_stop,0.4937109959111119,2.0,0.015028130102692404,False,,0.0032773310839570025,0.010400786249912919,-0.009018821244224994,-0.009018821244224994
boundary,2023-09-13 06:00:00+00:00,2023-09-14 12:00:00+00:00,1,25954.9,26464.4,30,0.01963020470123178,time_stop_max,0.6286180090442202,0.0,0.012311965499128844,False,,0.024766036470955433,0.00404162605134295,0.01803020470123178,0.0
boundary,2023-09-14 18:00:00+00:00,2023-09-15 10:00:00+00:00,-1,26579.8,26642.1,16,-0.00234388520605866,time_stop_early,0.6208596319154417,0.0,0.020269919889038802,False,,0.004883407700584597,0.005970699553796477,-0.00394388520605866,-0.0
false_break,2023-09-15 11:00:00+00:00,2023-09-15 22:00:00+00:00,-1,26430.4,26697.008000000005,11,-0.01008717234699441,price_stop,0.6224665570671986,3.0,0.018805144833222355,False,,0.007877292814335024,0.01587565833282878,-0.011687172346994412,-0.011687172346994412
boundary,2023-09-15 16:00:00+00:00,2023-09-16 22:00:00+00:00,1,26380.1,26557.8,30,0.006736138225404753,time_stop_max,0.6264706540263069,0.0,0.01787907046094109,False,,0.01967013013597385,0.00236541938809931,0.005136138225404753,0.0
false_break,2023-09-16 03:00:00+00:00,2023-09-17 09:00:00+00:00,-1,26616.7,26577.1,30,0.0014877877422821983,time_stop_max,0.6267841497358678,3.0,0.01715151264682197,False,,0.007577949182280275,0.0006011263605181227,-0.00011221225771780173,-0.00011221225771780173
boundary,2023-09-17 07:00:00+00:00,2023-09-17 09:00:00+00:00,-1,26498.9,26584.225000000002,2,-0.003219944978848144,price_stop,0.6228613753891774,0.0,0.0055396953584238295,False,,0.00020755578533449004,0.003249191475872548,-0.004819944978848144,-0.0
boundary,2023-09-17 13:00:00+00:00,2023-09-18 02:00:00+00:00,-1,26542.0,26642.64214285714,13,-0.0037918070551254957,price_stop,0.6232458761909504,0.0,0.004511481802426261,False,,0.0065669504935573775,0.008025016954261277,-0.0053918070551254955,-0.0
boundary,2023-09-18 02:00:00+00:00,2023-09-19 08:00:00+00:00,1,26659.1,27065.5,30,0.015244325577382645,time_stop_max,0.9862705958610894,0.0,0.005258867203568878,False,,0.028354295531357154,0.0036910473346811745,0.013644325577382644,0.0
boundary,2023-09-19 12:00:00+00:00,2023-09-19 15:00:00+00:00,-1,27137.0,27374.907000000003,3,-0.008766886538674301,price_stop,0.6181091312971699,0.0,0.012775423468573103,False,,0.009643659947672911,0.012860669934038338,-0.010366886538674302,-0.0
boundary,2023-09-20 01:00:00+00:00,2023-09-20 03:00:00+00:00,1,27340.0,27120.0,2,-0.008046817849305055,early_failure,0.6180124395798738,0.0,0.019940182272616364,False,,0.0017556693489393371,0.00943306510607178,-0.009646817849305055,-0.0
boundary,2023-09-20 07:00:00+00:00,2023-09-20 19:00:00+00:00,1,27103.5,26853.1565,12,-0.009236574612134896,price_stop,0.6257795159672609,0.0,0.02239441708020488,False,,0.007249986164148625,0.012385854225469117,-0.010836574612134896,-0.0
boundary,2023-09-21 21:00:00+00:00,2023-09-22 13:00:00+00:00,1,26614.1,26615.7,16,6.01185086102074e-05,time_stop_early,0.7412705568987921,0.0,0.016034357727670596,False,,0.004952262146756814,0.00578640645372186,-0.0015398814913897927,-0.0
boundary,2023-09-22 16:00:00+00:00,2023-09-23 16:00:00+00:00,-1,26599.4,26605.0,24,-0.0002105310646103309,time_stop_early,0.6295553877587796,0.0,0.020500587732555503,False,,0.004263254058362254,0.0016391347173243531,-0.001810531064610331,-0.0
boundary,2023-09-23 20:00:00+00:00,2023-09-24 12:00:00+00:00,-1,26588.2,26605.0,16,-0.000631859245830757,time_stop_early,0.6015244812741314,0.0,0.003857757702038038,False,,0.0015834091815166706,0.0010079659397776997,-0.002231859245830757,-0.0
boundary,2023-09-24 12:00:00+00:00,2023-09-24 18:00:00+00:00,1,26605.0,26542.33142857143,6,-0.0023555185652535116,price_stop,0.6121334158559677,0.0,0.0022415429430558,False,,0.005115579778237178,0.007348242811501593,-0.003955518565253511,-0.0
boundary,2023-09-25 13:00:00+00:00,2023-09-26 15:00:00+00:00,1,26161.6,26126.4,26,-0.0013454834566691831,time_stop_early,0.7259045209442434,0.0,0.011473113265243811,False,,0.010851782765580076,0.0029852914194850033,-0.002945483456669183,-0.0
boundary,2023-09-26 22:00:00+00:00,2023-09-27 09:00:00+00:00,-1,26158.5,26276.590500000002,11,-0.004514421698492033,price_stop,0.6254179645335629,0.0,0.01214716695019466,False,,0.00032494217940626235,0.00923218074430876,-0.0061144216984920325,-0.0
boundary,2023-09-27 10:00:00+00:00,2023-09-27 14:00:00+00:00,1,26443.9,26284.391,4,-0.006031977128940991,price_stop,0.6206355969560325,0.0,0.00744283180620109,False,,0.015319222958791956,0.01073593531967676,-0.0076319771289409906,-0.0
boundary,2023-09-28 14:00:00+00:00,2023-09-29 20:00:00+00:00,1,26796.8,26914.2,30,0.004381120133747363,time_stop_max,0.7278930301081045,0.0,0.01035894833213914,False,,0.01980087174588019,0.005478266061619275,0.002781120133747363,0.0
boundary,2023-09-30 00:00:00+00:00,2023-10-01 06:00:00+00:00,1,26937.4,27130.4,30,0.007164759776370433,time_stop_max,0.6244997435347952,0.0,0.019602222807942375,False,,0.007669634040404771,0.0019638123946632557,0.005564759776370433,0.0
boundary,2023-10-01 14:00:00+00:00,2023-10-01 22:00:00+00:00,-1,27117.6,27312.724285714285,8,-0.007195485061889162,price_stop,0.6179802359104425,0.0,0.006657914663047943,False,,0.0033336283446911974,0.051774493317992665,-0.008795485061889163,-0.0
boundary,2023-10-02 03:00:00+00:00,2023-10-02 05:00:00+00:00,1,28124.9,27978.7,2,-0.005198240704855861,early_failure,0.6056813293903232,0.0,0.01269463772908239,False,,0.0008497807992204898,0.007178692190905611,-0.006798240704855861,-0.0
boundary,2023-10-02 11:00:00+00:00,2023-10-02 13:00:00+00:00,-1,28199.0,28568.1,2,-0.013089116635341735,early_failure,0.6127468211398879,0.0,0.017640223648592798,False,,3.546225043393747e-06,0.014014681371679938,-0.014689116635341736,-0.0
