variant,box_width_bucket,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars
variant_early_failure_global,4.0-8.0%,10,0.4,0.00302877319264454,0.029423151052239804,3.7222121040041567,-0.02307391498321043,20.7
variant_early_failure_global,<=0.5%,5,0.0,-0.0040021727361114,-0.019857738672188097,-80.94691117276106,-0.019857738672188097,6.6
variant_early_failure_global,>8.0%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_early_failure_targeted,1.5-2.5%,60,0.3,0.005658361808514184,0.36409441234277473,3.9853980244016216,-0.10539021012021921,17.316666666666666
variant_early_failure_targeted,0.5-1.0%,26,0.3076923076923077,0.0037199060359785537,0.09690004234764271,5.26505456582748,-0.039016948647280114,13.153846153846153
variant_early_failure_targeted,1.0-1.5%,22,0.22727272727272727,-0.002512099936062532,-0.055081627222397955,-5.553403506411191,-0.05662237855954422,14.181818181818182
variant_early_failure_targeted,2.5-4.0%,22,0.45454545454545453,0.003504006821280668,0.07497643775242158,3.4540558746861785,-0.050366840619458064,19.818181818181817
variant_early_failure_targeted,4.0-8.0%,10,0.4,0.00302877319264454,0.029423151052239804,3.7222121040041567,-0.02307391498321043,20.7
variant_early_failure_targeted,<=0.5%,5,0.0,-0.0040021727361114,-0.019857738672188097,-80.94691117276106,-0.019857738672188097,6.6
variant_early_failure_targeted,>8.0%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_bad_width_bucket_filter,1.5-2.5%,60,0.31666666666666665,0.006084271893965271,0.39824158972544454,4.202461403256412,-0.11270101576647396,17.6
variant_bad_width_bucket_filter,0.5-1.0%,29,0.3793103448275862,0.006289361185222017,0.19352667764653786,8.023517909859327,-0.024812623372948095,14.96551724137931
variant_bad_width_bucket_filter,2.5-4.0%,22,0.45454545454545453,0.003504006821280668,0.07497643775242158,3.4540558746861785,-0.050366840619458064,19.818181818181817
variant_bad_width_bucket_filter,4.0-8.0%,10,0.5,0.0075494170282328285,0.07645268778642733,7.820805430401296,-0.01930785289671544,23.4
variant_bad_width_bucket_filter,<=0.5%,5,0.0,-0.0040021727361114,-0.019857738672188097,-80.94691117276106,-0.019857738672188097,6.6
variant_bad_width_bucket_filter,1.0-1.5%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_bad_width_bucket_filter,>8.0%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_bad_width_bucket_repair,1.5-2.5%,60,0.3,0.005457128544351429,0.347530222251101,3.799442663019375,-0.11280058158876571,17.6
variant_bad_width_bucket_repair,0.5-1.0%,26,0.3076923076923077,0.0037199060359785537,0.09690004234764271,5.26505456582748,-0.039016948647280114,13.153846153846153
variant_bad_width_bucket_repair,1.0-1.5%,22,0.22727272727272727,-0.0021898959948187546,-0.04830488685968226,-4.93263964301617,-0.05127348236799434,14.090909090909092
variant_bad_width_bucket_repair,2.5-4.0%,22,0.45454545454545453,0.003504006821280668,0.07497643775242158,3.4540558746861785,-0.050366840619458064,19.818181818181817
variant_bad_width_bucket_repair,4.0-8.0%,10,0.5,0.0075494170282328285,0.07645268778642733,7.820805430401296,-0.01930785289671544,23.4
variant_bad_width_bucket_repair,<=0.5%,5,0.0,-0.0040021727361114,-0.019857738672188097,-80.94691117276106,-0.019857738672188097,6.6
variant_bad_width_bucket_repair,>8.0%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_combo_best_effort,1.5-2.5%,57,0.3333333333333333,0.0068649886805361585,0.43567780089002395,4.632265323083771,-0.11270101576647407,17.736842105263158
variant_combo_best_effort,0.5-1.0%,26,0.4230769230769231,0.007773995124694715,0.21739201890639026,9.29053075308389,-0.02479246549657399,16.115384615384617
variant_combo_best_effort,2.5-4.0%,20,0.5,0.004712318526996179,0.09371775713718189,4.47664620127606,-0.03381077695770862,20.2
variant_combo_best_effort,4.0-8.0%,9,0.4444444444444444,0.004405307861721234,0.03920107100641412,5.164288043773554,-0.01930785289671544,22.666666666666668
variant_combo_best_effort,<=0.5%,5,0.0,-0.0040021727361114,-0.019857738672188097,-80.94691117276106,-0.019857738672188097,6.6
variant_combo_best_effort,1.0-1.5%,0,0.0,0.0,0.0,0.0,0.0,0.0
variant_combo_best_effort,>8.0%,0,0.0,0.0,0.0,0.0,0.0,0.0
